epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43634,2.35292,8.82109,1.63495,0.89094,0.22222,0.3609,0.23767,1.18526,17.2232,0.92855,0.00037154,0.00037154,0.00037154
2,6.44402,1.96399,5.97506,1.27628,0.47068,0.33333,0.38291,0.24,1.25096,4.25812,1.01441,0.000749872,0.000749872,0.000749872
3,8.45543,1.9796,4.36829,1.29844,0.48156,0.44444,0.38558,0.17103,1.39351,4.69622,0.93015,0.00112056,0.00112056,0.00112056
4,10.3906,1.86636,5.51103,1.41398,1,0.55556,0.68084,0.40882,1.22,6.34146,1.14875,0.00138656,0.00138656,0.00138656
5,12.337,1.91891,5.56174,1.49966,0.77113,0.44444,0.5267,0.34981,1.29021,3.10745,1.25625,0.00137241,0.00137241,0.00137241
6,14.2524,1.76625,2.27831,1.3436,0.53006,0.77778,0.61358,0.41691,1.55063,2.20473,1.10936,0.00135826,0.00135826,0.00135826
7,16.2283,1.69193,1.79786,1.34599,0.65043,0.88889,0.76767,0.4097,1.40976,1.30106,1.04337,0.00134412,0.00134412,0.00134412
8,18.2546,1.74151,2.03087,1.24532,1,0.65095,0.79114,0.45051,1.39173,1.25899,1.07174,0.00132997,0.00132997,0.00132997
9,20.2213,1.60237,1.7534,1.33496,0.93864,0.66667,0.76912,0.42502,1.7582,1.19338,1.18567,0.00131582,0.00131582,0.00131582
10,22.1653,1.96583,2.17051,1.47683,0.97176,0.77778,0.77845,0.52806,1.5648,1.69745,1.18478,0.00130168,0.00130168,0.00130168
11,24.1324,1.59523,1.62337,1.27551,0.79454,0.55556,0.56613,0.29139,1.33811,11.5078,1.08293,0.00128753,0.00128753,0.00128753
12,26.0653,1.72889,1.53572,1.46921,0.76258,0.88889,0.84994,0.4879,1.47578,3.42121,1.04953,0.00127338,0.00127338,0.00127338
13,28.0166,1.57996,1.39981,1.25073,1,0.95871,0.995,0.66742,1.17323,1.02326,0.97169,0.00125923,0.00125923,0.00125923
14,29.9493,1.52405,1.30759,1.28336,0.99112,1,0.995,0.69217,1.26239,0.83525,1.02367,0.00124509,0.00124509,0.00124509
15,31.8772,1.62745,1.18995,1.19419,0.81419,0.88889,0.90683,0.56563,1.49912,0.91738,1.04627,0.00123094,0.00123094,0.00123094
16,33.7576,1.59522,1.08003,1.27285,0.98497,1,0.995,0.64409,1.42064,0.78636,1.02273,0.00121679,0.00121679,0.00121679
17,35.6524,1.41666,1.10142,1.15659,0.89498,1,0.984,0.68942,1.13765,0.77495,0.93927,0.00120265,0.00120265,0.00120265
18,37.555,1.52882,1.01996,1.2747,0.99152,1,0.995,0.71637,0.93694,0.64188,0.86726,0.0011885,0.0011885,0.0011885
19,39.5232,1.62754,1.16368,1.26148,1,0.99594,0.995,0.73161,1.03516,0.70095,0.87752,0.00117435,0.00117435,0.00117435
20,41.4799,1.7434,1.10466,1.37361,1,0.99932,0.995,0.73855,1.13718,0.72895,0.91216,0.00116021,0.00116021,0.00116021
21,43.4547,1.56603,1.15053,1.2363,1,0.97859,0.995,0.67099,1.05634,0.71465,0.97735,0.00114606,0.00114606,0.00114606
22,45.319,1.43079,0.96455,1.20761,0.89721,0.97208,0.973,0.65458,1.11595,0.77469,0.97857,0.00113191,0.00113191,0.00113191
23,47.2322,1.4901,1.02433,1.25694,0.89869,0.9869,0.962,0.73862,1.07574,0.72889,0.94991,0.00111776,0.00111776,0.00111776
24,49.1114,1.52703,0.98362,1.21861,1,0.98427,0.995,0.75282,1.20333,0.73818,1.00045,0.00110362,0.00110362,0.00110362
25,51.0276,1.64861,0.98225,1.24592,0.98711,1,0.995,0.66548,1.06344,0.69838,0.96693,0.00108947,0.00108947,0.00108947
26,52.9041,1.48406,0.95265,1.19376,0.985,0.88889,0.984,0.74264,1.29616,0.79352,0.97238,0.00107532,0.00107532,0.00107532
27,54.8678,1.41414,0.93006,1.18726,0.94127,0.88889,0.975,0.70246,1.05054,0.75807,0.9405,0.00106118,0.00106118,0.00106118
28,56.7804,1.3895,0.94024,1.17653,0.98443,0.88889,0.9675,0.69918,1.05296,0.76408,0.95173,0.00104703,0.00104703,0.00104703
29,58.7196,1.42559,0.98867,1.19625,0.99746,1,0.995,0.73295,0.99045,0.74897,0.91673,0.00103288,0.00103288,0.00103288
30,60.6518,1.44358,0.93902,1.20511,0.98976,1,0.995,0.78748,0.80752,0.63076,0.87377,0.00101873,0.00101873,0.00101873
31,62.5665,1.50396,1.00615,1.22224,0.99128,1,0.995,0.78303,0.786,0.65642,0.87885,0.00100459,0.00100459,0.00100459
32,64.4432,1.44277,0.92745,1.15412,0.99524,1,0.995,0.72529,0.89413,0.69105,0.90932,0.00099044,0.00099044,0.00099044
33,66.3287,1.52669,1.07831,1.18793,0.98843,1,0.995,0.7748,0.83658,0.62704,0.89088,0.000976293,0.000976293,0.000976293
34,68.2475,1.45943,0.97803,1.22521,0.9895,1,0.995,0.7655,0.95222,0.64467,0.90292,0.000962146,0.000962146,0.000962146
35,70.1698,1.39931,0.87584,1.17429,1,0.984,0.995,0.74103,1.13709,0.70968,0.94568,0.000947999,0.000947999,0.000947999
36,72.0651,1.35866,0.96731,1.16956,1,0.97742,0.995,0.69539,1.16428,0.73412,0.94196,0.000933851,0.000933851,0.000933851
37,73.9951,1.5246,0.92109,1.13935,0.98535,1,0.995,0.71145,0.85077,0.65054,0.89761,0.000919704,0.000919704,0.000919704
38,75.9065,1.35982,0.81926,1.13244,0.98489,1,0.995,0.7408,0.84076,0.65849,0.89468,0.000905557,0.000905557,0.000905557
39,77.8474,1.2131,0.80002,1.10599,0.9924,1,0.995,0.6536,0.93853,0.83457,0.90801,0.00089141,0.00089141,0.00089141
40,79.742,1.32891,0.89744,1.11457,0.97524,1,0.995,0.62355,1.08572,0.75744,0.90889,0.000877263,0.000877263,0.000877263
41,81.6394,1.46151,0.8619,1.22533,0.96253,1,0.995,0.65203,1.24429,0.71735,0.92006,0.000863116,0.000863116,0.000863116
42,83.585,1.39474,0.77561,1.10403,0.94062,1,0.995,0.66664,1.22334,0.77984,0.92241,0.000848969,0.000848969,0.000848969
43,85.5296,1.40639,0.96905,1.12264,0.92689,1,0.995,0.71934,0.95684,0.66394,0.90231,0.000834822,0.000834822,0.000834822
44,87.459,1.42138,1.05253,1.17139,0.9964,0.88889,0.9675,0.69517,0.91612,0.70003,0.89985,0.000820675,0.000820675,0.000820675
45,89.3737,1.44354,0.86858,1.15996,1,0.87748,0.91914,0.64191,0.97534,0.70189,0.91005,0.000806528,0.000806528,0.000806528
46,91.3036,1.42863,0.86254,1.15316,0.97992,1,0.995,0.71599,0.89259,0.68684,0.90109,0.00079238,0.00079238,0.00079238
47,93.2155,1.26992,0.79888,1.10759,0.98928,1,0.995,0.72463,0.8626,0.68454,0.90401,0.000778233,0.000778233,0.000778233
48,95.1488,1.51153,1.03085,1.23224,0.98695,1,0.995,0.69325,0.95679,0.5931,0.91639,0.000764086,0.000764086,0.000764086
49,97.0845,1.30996,0.80796,1.13909,1,0.98948,0.995,0.73375,0.87686,0.57805,0.89819,0.000749939,0.000749939,0.000749939
50,98.9661,1.27688,0.83346,1.15838,1,0.99797,0.995,0.73399,0.76304,0.56932,0.88068,0.000735792,0.000735792,0.000735792
51,100.84,1.32371,0.87793,1.15874,0.9945,1,0.995,0.72853,0.80126,0.58924,0.88875,0.000721645,0.000721645,0.000721645
52,102.761,1.27201,0.74057,1.07282,0.99033,1,0.995,0.68206,0.88444,0.53437,0.90694,0.000707498,0.000707498,0.000707498
53,104.666,1.2821,0.8051,1.13609,0.98796,1,0.995,0.71857,0.8374,0.60035,0.89146,0.000693351,0.000693351,0.000693351
54,106.563,1.32213,0.76197,1.13098,0.98882,1,0.995,0.69817,0.92273,0.57483,0.90308,0.000679204,0.000679204,0.000679204
55,108.492,1.29133,0.75898,1.1097,0.9881,1,0.995,0.73867,0.92768,0.58036,0.88763,0.000665057,0.000665057,0.000665057
56,110.465,1.25173,0.75985,1.13743,0.9868,1,0.995,0.75259,0.89564,0.58739,0.89286,0.000650909,0.000650909,0.000650909
57,112.386,1.23437,0.86237,1.07068,0.98538,1,0.995,0.73116,0.88727,0.58677,0.8935,0.000636762,0.000636762,0.000636762
58,114.322,1.36476,0.99699,1.18181,0.98633,1,0.995,0.74845,0.94786,0.60954,0.89128,0.000622615,0.000622615,0.000622615
59,116.287,1.2399,0.72158,1.09281,0.99504,1,0.995,0.70206,0.98002,0.59321,0.89381,0.000608468,0.000608468,0.000608468
60,118.213,1.32506,0.80354,1.10938,0.88349,0.88889,0.93083,0.70547,0.96957,0.57585,0.89025,0.000594321,0.000594321,0.000594321
61,120.115,1.32885,0.80476,1.13149,0.88031,0.88889,0.93083,0.6997,0.9601,0.60136,0.88308,0.000580174,0.000580174,0.000580174
62,121.996,1.30584,0.79066,1.10389,0.87908,0.88889,0.94306,0.72906,0.88028,0.58977,0.86844,0.000566027,0.000566027,0.000566027
63,123.934,1.18587,0.70698,1.04541,0.9909,1,0.995,0.71905,0.8979,0.57877,0.87227,0.00055188,0.00055188,0.00055188
64,125.861,1.31204,0.79701,1.11153,0.99138,1,0.995,0.72147,0.9158,0.59441,0.87076,0.000537733,0.000537733,0.000537733
65,127.813,1.33091,0.80674,1.16042,0.99086,1,0.995,0.79086,0.80175,0.58841,0.84916,0.000523586,0.000523586,0.000523586
66,129.789,1.36805,1.04381,1.17766,0.98898,1,0.995,0.80752,0.80983,0.62986,0.84957,0.000509438,0.000509438,0.000509438
67,131.74,1.14101,0.75453,1.03013,0.98838,1,0.995,0.81204,0.8599,0.59592,0.85716,0.000495291,0.000495291,0.000495291
68,133.719,1.3159,0.79646,1.11755,0.98904,1,0.995,0.78313,0.83778,0.59986,0.84681,0.000481144,0.000481144,0.000481144
69,135.656,1.17297,0.67736,1.06373,0.9904,1,0.995,0.78514,0.84571,0.61181,0.84019,0.000466997,0.000466997,0.000466997
70,137.569,1.32004,0.81773,1.14719,0.99284,1,0.995,0.81154,0.88208,0.64126,0.83959,0.00045285,0.00045285,0.00045285
71,139.509,1.26214,0.72279,1.10564,0.99445,1,0.995,0.78091,0.92409,0.62117,0.84842,0.000438703,0.000438703,0.000438703
72,141.43,1.34025,0.86927,1.07288,0.99523,1,0.995,0.77331,0.86466,0.59561,0.85022,0.000424556,0.000424556,0.000424556
73,143.337,1.21537,0.68443,1.05463,0.99381,1,0.995,0.73833,0.86234,0.5862,0.85702,0.000410409,0.000410409,0.000410409
74,145.285,1.34758,0.74274,1.09228,0.99045,1,0.995,0.75055,0.93613,0.53273,0.86477,0.000396262,0.000396262,0.000396262
75,147.233,1.24069,0.70038,1.04866,0.98906,1,0.995,0.79064,0.88772,0.52032,0.84982,0.000382115,0.000382115,0.000382115
76,149.143,1.16132,0.69454,1.0728,0.98925,1,0.995,0.79829,0.84699,0.53353,0.83659,0.000367967,0.000367967,0.000367967
77,151.03,1.23509,0.71898,1.07235,0.99062,1,0.995,0.7961,0.81901,0.53809,0.83836,0.00035382,0.00035382,0.00035382
78,152.92,1.27329,0.83668,1.08567,0.9978,1,0.995,0.78134,0.85688,0.54368,0.85142,0.000339673,0.000339673,0.000339673
79,154.812,1.14863,0.72671,0.97852,0.99933,1,0.995,0.76485,0.91854,0.56771,0.86814,0.000325526,0.000325526,0.000325526
80,156.733,1.3509,0.73632,1.24384,0.99884,1,0.995,0.72157,0.98942,0.55922,0.88903,0.000311379,0.000311379,0.000311379
81,158.615,1.16006,0.64254,1.01077,0.99936,1,0.995,0.70016,0.97218,0.54917,0.87491,0.000297232,0.000297232,0.000297232
82,160.525,1.18104,0.6722,1.02343,0.9958,1,0.995,0.76868,0.89108,0.53271,0.85946,0.000283085,0.000283085,0.000283085
83,162.413,1.14667,0.76143,1.03377,0.99386,1,0.995,0.73924,0.87909,0.51249,0.85538,0.000268938,0.000268938,0.000268938
84,164.365,1.41714,0.82907,1.18118,0.99266,1,0.995,0.7166,0.87655,0.59458,0.85636,0.000254791,0.000254791,0.000254791
85,166.318,1.16814,0.71083,1.03664,0.99204,1,0.995,0.69602,0.87287,0.62476,0.85816,0.000240644,0.000240644,0.000240644
86,168.227,1.11524,0.6984,1.01893,0.99244,1,0.995,0.6963,0.84923,0.62722,0.85267,0.000226497,0.000226497,0.000226497
87,170.128,1.26894,0.74243,1.09764,0.99286,1,0.995,0.69952,0.84293,0.61802,0.85372,0.000212349,0.000212349,0.000212349
88,172.009,1.20469,0.77539,1.05802,0.99352,1,0.995,0.71159,0.84042,0.61266,0.86009,0.000198202,0.000198202,0.000198202
89,173.908,1.17233,0.69665,1.05132,0.99368,1,0.995,0.72484,0.82429,0.62048,0.85989,0.000184055,0.000184055,0.000184055
90,175.818,1.19995,0.6912,1.01346,0.99246,1,0.995,0.72802,0.7833,0.60423,0.85776,0.000169908,0.000169908,0.000169908
91,178.232,1.16505,0.64677,1.05005,0.98971,1,0.995,0.72473,0.76226,0.57317,0.85025,0.000155761,0.000155761,0.000155761
92,180.132,1.13857,0.63754,1.03788,0.98972,1,0.995,0.76556,0.76479,0.56325,0.84858,0.000141614,0.000141614,0.000141614
93,182.014,1.15557,0.73124,1.06358,0.98745,1,0.995,0.74477,0.76182,0.55365,0.84402,0.000127467,0.000127467,0.000127467
94,183.888,1.09359,0.64434,1.00107,0.9878,1,0.995,0.7835,0.73774,0.55108,0.84279,0.00011332,0.00011332,0.00011332
95,185.735,0.98789,0.60175,0.95681,0.98899,1,0.995,0.75316,0.72762,0.56806,0.83975,9.91726e-05,9.91726e-05,9.91726e-05
96,187.608,1.13608,0.6964,1.02884,0.98993,1,0.995,0.75345,0.76405,0.57221,0.84657,8.50255e-05,8.50255e-05,8.50255e-05
97,189.478,1.08592,0.62472,1.02151,0.99049,1,0.995,0.75509,0.76751,0.56484,0.84707,7.08784e-05,7.08784e-05,7.08784e-05
98,191.358,1.11529,0.64929,0.99899,0.99034,1,0.995,0.76324,0.759,0.56774,0.8474,5.67313e-05,5.67313e-05,5.67313e-05
99,193.335,1.08809,0.62465,1.03372,0.99247,1,0.995,0.76488,0.76324,0.56879,0.84878,4.25842e-05,4.25842e-05,4.25842e-05
100,195.232,1.17399,0.67907,1.03374,0.99126,1,0.995,0.74293,0.77939,0.56773,0.84764,2.84371e-05,2.84371e-05,2.84371e-05
