epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3243,0.5832,0.91371,0.90807,0.47164,0.3139,0.21712,0.17617,0.26246,0.32039,0.78573,0.00332581,0.00332581,0.00332581
2,151.034,0.58021,0.46797,0.89144,0.23482,0.61183,0.2398,0.20233,0.32617,0.32413,0.79756,0.00664596,0.00664596,0.00664596
3,222.291,0.62905,0.51355,0.91314,0.31929,0.46499,0.34767,0.29283,0.36386,0.38127,0.81822,0.00995291,0.00995291,0.00995291
4,293.516,0.67172,0.51723,0.92192,0.28968,0.69533,0.45337,0.39024,0.32114,0.30456,0.80061,0.0099406,0.0099406,0.0099406
