epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,101.467,1.46266,0.87794,1.14628,0.87828,0.88889,0.96278,0.61497,0.97761,0.66773,0.95532,0.000848969,0.000848969,0.000848969
43,103.782,1.49809,0.90262,1.18819,0.88835,1,0.973,0.69711,0.87465,0.67691,0.94902,0.000834822,0.000834822,0.000834822
44,106.057,1.42375,1.02226,1.16745,1,0.98442,0.995,0.70494,0.87257,0.69874,0.94682,0.000820675,0.000820675,0.000820675
45,108.438,1.36741,0.89311,1.12171,1,0.99765,0.995,0.62669,0.90104,0.62297,0.9219,0.000806528,0.000806528,0.000806528
46,110.741,1.38671,0.91372,1.12946,1,0.97013,0.995,0.67201,0.93811,0.67266,0.93849,0.00079238,0.00079238,0.00079238
47,112.962,1.25655,0.84792,1.09449,0.982,1,0.995,0.69044,0.97289,0.71688,0.94017,0.000778233,0.000778233,0.000778233
48,115.281,1.46356,1.13707,1.24345,0.98484,1,0.995,0.68881,0.93783,0.67963,0.92268,0.000764086,0.000764086,0.000764086
49,117.617,1.31937,0.80224,1.14578,1,0.98286,0.995,0.69695,1.05857,0.67451,0.94206,0.000749939,0.000749939,0.000749939
50,120.015,1.40018,0.96601,1.19082,0.98262,1,0.995,0.73584,1.02972,0.61001,0.92648,0.000735792,0.000735792,0.000735792
51,122.354,1.29726,0.8614,1.16874,0.9888,1,0.995,0.751,1.0028,0.59499,0.91996,0.000721645,0.000721645,0.000721645
52,124.591,1.32122,0.86122,1.09982,1,0.99592,0.995,0.72179,0.94934,0.64402,0.91834,0.000707498,0.000707498,0.000707498
53,126.834,1.33583,0.86695,1.1627,0.98502,0.88889,0.92036,0.67829,0.88322,0.72332,0.90352,0.000693351,0.000693351,0.000693351
54,129.107,1.34921,0.79709,1.14905,0.98287,0.88889,0.89266,0.65765,0.89113,0.73912,0.90612,0.000679204,0.000679204,0.000679204
55,131.387,1.33805,0.80428,1.13906,0.89815,0.98146,0.984,0.70476,1.02592,0.65072,0.94058,0.000665057,0.000665057,0.000665057
56,133.678,1.41523,0.78863,1.19155,0.98748,1,0.995,0.71514,1.07186,0.61302,0.96325,0.000650909,0.000650909,0.000650909
57,135.963,1.30075,0.86628,1.12212,0.97396,1,0.995,0.75014,1.00225,0.57373,0.93342,0.000636762,0.000636762,0.000636762
58,138.229,1.40339,0.94443,1.19067,0.97483,1,0.995,0.70031,1.02414,0.57572,0.9208,0.000622615,0.000622615,0.000622615
